time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall offer [Mb/s],offer last interval [Mb/s]
0.0,0,0,NaN,0.0,NaN,NaN
500.0,252,252,1028.0714285714287,259074.0,4.145184,4.145184
1000.0,259,511,982.4633204633204,513532.0,4.108256000000001,4.071328
1500.0,246,757,1075.0284552845528,777989.0,4.149274666666666,4.231312
2000.0,266,1023,1069.063909774436,1062360.0,4.24944,4.549936
2500.0,224,1247,924.9910714285714,1269558.0,4.0625856,3.315168
3000.0,260,1507,1048.5,1542168.0,4.1124480000000005,4.36176
3500.0,246,1753,1027.138211382114,1794844.0,4.102500571428572,4.042816
4000.0,252,2005,983.8611111111111,2042777.0,4.085554,3.966928
4500.0,255,2260,1062.129411764706,2313620.0,4.113102222222222,4.333488
5000.0,268,2528,1005.9514925373135,2583215.0,4.133144,4.31352
5500.0,255,2783,974.3254901960785,2831668.0,4.118789818181819,3.975248
6000.0,253,3036,995.6561264822135,3083569.0,4.111425333333334,4.030416
6500.0,239,3275,990.8619246861924,3320385.0,4.086627692307692,3.789056
7000.0,249,3524,1011.4176706827309,3572228.0,4.082546285714286,4.029488
7500.0,279,3803,972.6989247311828,3843611.0,4.099851733333333,4.342128
8000.0,265,4068,961.4566037735849,4098397.0,4.098397,4.076576
8500.0,234,4302,1022.7008547008547,4337709.0,4.082549647058824,3.828992
9000.0,265,4567,1011.0037735849056,4605625.0,4.0938888888888885,4.286656
9500.0,239,4806,1023.6359832635983,4850274.0,4.084441263157895,3.914384
10000.0,253,5059,1005.3754940711462,5104634.0,4.0837072,4.06976
10500.0,243,5302,975.0041152263375,5341560.0,4.06976,3.790816
11000.0,276,5578,968.9384057971015,5608987.0,4.079263272727273,4.278832
11500.0,229,5807,1013.3231441048035,5841038.0,4.063330782608696,3.712816
12000.0,253,6060,1060.7747035573123,6109414.0,4.072942666666667,4.294016
12500.0,249,6309,990.433734939759,6356032.0,4.06786048,3.945888
13000.0,272,6581,971.375,6620246.0,4.073997538461539,4.227424
13500.0,263,6844,1002.7490494296578,6883969.0,4.0793890370370365,4.219568
14000.0,255,7099,955.5098039215686,7127624.0,4.072928,3.89848
14500.0,253,7352,981.7747035573123,7376013.0,4.069524413793104,3.974224
15000.0,249,7601,992.3815261044176,7623116.0,4.065661866666667,3.953648
